name,start_time,finish_time,duration,executed_at
ServiceDiversity,0.0,70.04394586309805,70.04394586309805,application
OSDiversity,200.51365534678385,280.6535054486151,80.13985010183123,application
CompleteTopologyShuffle,400.66773542071326,520.9472045592398,120.27946913852657,network
ServiceDiversity,601.9854971493792,673.7367606108189,71.75126346143975,application
CompleteTopologyShuffle,801.9916116215586,923.8240916828199,121.83248006126132,network
ServiceDiversity,1002.0320727637752,1072.6883484455054,70.65627568173022,application
ServiceDiversity,1202.0984370346932,1272.3349968176021,70.2365597829089,application
ServiceDiversity,1402.3875744752502,1472.8714622290315,70.48388775378135,application
ServiceDiversity,1603.1775751730902,1673.814123259086,70.63654808599586,application
OSDiversity,1803.8180967219128,1884.432295448609,80.61419872669626,application
CompleteTopologyShuffle,2005.0968314008355,2125.350720448263,120.25388904742749,network
CompleteTopologyShuffle,2205.2996883491305,2326.0817370157997,120.7820486666692,network
OSDiversity,2405.6874001063306,2486.0256381130353,80.33823800670461,application
CompleteTopologyShuffle,2605.7992999437765,2727.9578912713914,122.15859132761489,network
ServiceDiversity,2805.9378655851688,2876.420987450243,70.48312186507428,application
CompleteTopologyShuffle,3006.4894963227043,3127.798380905816,121.30888458311165,network
ServiceDiversity,3206.629010994843,3276.6345572748537,70.00554628001055,application
OSDiversity,3407.3623401579284,3488.1353449731564,80.77300481522798,application
IPShuffle,3608.9166191894396,3720.4841324325494,111.56751324310972,network
OSDiversity,3808.9227103794447,3889.412676632189,80.48996625274413,application
IPShuffle,4009.655862401097,4120.092505152119,110.43664275102219,network
ServiceDiversity,4210.116365303332,4280.254039665469,70.13767436213675,application
OSDiversity,4411.549382995222,4491.571449718281,80.02206672305874,application
IPShuffle,4612.934782689225,4722.9394704053075,110.00468771608212,network
CompleteTopologyShuffle,4813.244319948559,4933.722857367141,120.47853741858216,network
CompleteTopologyShuffle,5013.904706789843,5134.09516256224,120.1904557723974,network
IPShuffle,5214.692856712804,5327.160864583793,112.46800787098891,network
CompleteTopologyShuffle,5415.298621968851,5535.572564061612,120.27394209276099,network
IPShuffle,5615.549535151269,5726.024981563425,110.47544641215609,network
ServiceDiversity,5816.484681488609,5887.275873933708,70.79119244509911,application
CompleteTopologyShuffle,6016.831879736995,6136.897458659121,120.0655789221264,network
CompleteTopologyShuffle,6217.353682546232,6338.546116165708,121.1924336194752,network
IPShuffle,6418.140223764311,6528.323425246575,110.18320148226485,network
OSDiversity,6618.309804599596,6698.866382083943,80.55657748434714,application
CompleteTopologyShuffle,6818.823044929932,6938.8831711925095,120.0601262625778,network
CompleteTopologyShuffle,7020.587728722545,7141.374663039773,120.78693431722786,network
OSDiversity,7220.596873869203,7300.606539121263,80.00966525206059,application
CompleteTopologyShuffle,7420.689875087814,7541.291261133252,120.60138604543863,network
ServiceDiversity,7621.160291591673,7691.255566883159,70.09527529148636,application
OSDiversity,7821.325273150278,7901.890933559003,80.56566040872531,application
CompleteTopologyShuffle,8021.460478083314,8142.337301309253,120.876823225939,network
ServiceDiversity,8221.470148747801,8291.749857317503,70.27970856970205,application
OSDiversity,8422.035878814793,8502.42446563064,80.38858681584679,application
IPShuffle,8622.930549159933,8734.61754278617,111.68699362623738,network
CompleteTopologyShuffle,8824.84703464001,8945.42948369906,120.5824490590494,network
CompleteTopologyShuffle,9025.385713500413,9146.276177668893,120.89046416848032,network
IPShuffle,9225.435302720067,9335.891655046364,110.45635232629684,network
ServiceDiversity,9426.202480633181,9496.591957175262,70.38947654208096,application
IPShuffle,9627.786879353896,9738.278162453447,110.49128309955086,network
IPShuffle,9827.911422720666,9937.94214084168,110.0307181210137,network
CompleteTopologyShuffle,10028.013607171,10148.384147466393,120.37054029539286,network
CompleteTopologyShuffle,10228.734917360962,10348.882903205546,120.14798584458367,network
ServiceDiversity,10429.873306435926,10499.876809811893,70.00350337596683,application
ServiceDiversity,10630.085309085423,10700.08560814426,70.00029905883639,application
ServiceDiversity,10830.964056789522,10902.00741042617,71.04335363664723,application
CompleteTopologyShuffle,11031.20055434343,11151.400909521108,120.20035517767792,network
IPShuffle,11231.54013404866,11341.575581768724,110.03544772006353,network
IPShuffle,11432.06285641814,11542.261487964945,110.19863154680388,network
OSDiversity,11632.126421529425,11712.376558540438,80.25013701101307,application
CompleteTopologyShuffle,11832.581218604395,11952.78897964916,120.207761044765,network
ServiceDiversity,12033.545171090349,12104.354511762293,70.80934067194357,application
CompleteTopologyShuffle,12233.781937440865,12353.88156401089,120.09962657002507,network
IPShuffle,12434.800257494406,12544.825532959812,110.0252754654066,network
CompleteTopologyShuffle,12634.826777196598,12755.016407831718,120.1896306351191,network
IPShuffle,12835.044847504281,12945.098572610914,110.05372510663256,network
CompleteTopologyShuffle,13035.151749375149,13155.176872425523,120.02512305037453,network
CompleteTopologyShuffle,13235.160575933856,13355.353419022262,120.19284308840543,network
ServiceDiversity,13435.82654607253,13506.163524805224,70.33697873269375,application
IPShuffle,13636.14578325915,13746.57100258092,110.42521932177078,network
IPShuffle,13836.484349337388,13946.817585181301,110.33323584391292,network
IPShuffle,14037.274179886686,14147.456173325676,110.1819934389896,network
OSDiversity,14238.764908922469,14318.94833487327,80.1834259508014,application
OSDiversity,14439.073625335812,14519.222981216208,80.14935588039589,application
ServiceDiversity,14639.310509470908,14709.50277140157,70.19226193066243,application
OSDiversity,14839.951807518079,14920.187817812513,80.23601029443489,application
