name,start_time,finish_time,duration,executed_at
OSDiversity,0.0,80.79694762325818,80.79694762325818,application
CompleteTopologyShuffle,0.0,120.6156983150212,120.6156983150212,network
ServiceDiversity,80.79694762325818,151.10301853658376,70.30607091332558,application
IPShuffle,120.6156983150212,231.1132495546305,110.4975512396093,network
OSDiversity,700.7286087508594,781.0482706876536,80.3196619367942,application
CompleteTopologyShuffle,700.7286087508594,821.3179971107852,120.5893883599258,network
ServiceDiversity,781.0482706876536,851.4782729627336,70.43000227508003,application
IPShuffle,821.3179971107852,932.2046987953182,110.88670168453302,network
OSDiversity,1401.3792105264097,1483.047676934555,81.66846640814538,application
CompleteTopologyShuffle,1401.3792105264097,1521.446165748448,120.06695522203836,network
ServiceDiversity,1483.047676934555,1553.6410830728857,70.59340613833069,application
IPShuffle,1521.446165748448,1631.542271556628,110.09610580818003,network
OSDiversity,2101.709117867796,2181.8674790016566,80.15836113386058,application
CompleteTopologyShuffle,2101.709117867796,2222.0928243541352,120.38370648633918,network
ServiceDiversity,2181.8674790016566,2252.234672446297,70.36719344464018,application
IPShuffle,2222.0928243541352,2332.1872500143954,110.09442566026019,network
